trial,width,height,density,mode,ok,ms,expansions,path_cells
7,100,100,0.25,astar,True,24.4255,6183,201
7,100,100,0.25,jps4,True,21.7067,3665,201
8,100,100,0.25,dijkstra,True,24.569,7483,198
8,100,100,0.25,astar,True,18.4015,4851,198
8,100,100,0.25,jps4,True,15.7405,2537,198
9,100,100,0.25,dijkstra,True,23.7436,7409,195
9,100,100,0.25,astar,True,8.5071,2371,195
9,100,100,0.25,jps4,True,6.6399,1184,195
10,100,100,0.25,dijkstra,True,24.5521,7417,199
10,100,100,0.25,astar,True,12.6795,3420,199
10,100,100,0.25,jps4,True,10.8986,1783,199
11,100,100,0.25,dijkstra,True,25.0281,7465,199
11,100,100,0.25,astar,True,11.7703,3184,199
11,100,100,0.25,jps4,True,11.095,1651,199
12,100,100,0.25,dijkstra,True,24.0898,7455,199
12,100,100,0.25,astar,True,13.5182,3769,199
12,100,100,0.25,jps4,True,12.6965,1905,199
13,100,100,0.25,dijkstra,True,23.7714,7414,190
13,100,100,0.25,astar,True,11.93,3171,190
13,100,100,0.25,jps4,True,9.7568,1657,190
14,100,100,0.25,dijkstra,True,24.2597,7372,197
14,100,100,0.25,astar,True,16.852,4486,197
14,100,100,0.25,jps4,True,13.9602,2333,197
15,100,100,0.25,dijkstra,True,26.3166,7380,197
15,100,100,0.25,astar,True,8.4263,2369,197
15,100,100,0.25,jps4,True,8.412,1227,197
16,100,100,0.25,dijkstra,True,26.0174,7527,199
16,100,100,0.25,astar,True,18.7914,5076,199
16,100,100,0.25,jps4,True,16.2011,2629,199
17,100,100,0.25,dijkstra,True,23.6681,7426,196
17,100,100,0.25,astar,True,13.8042,3709,196
17,100,100,0.25,jps4,True,10.684,1936,196
18,100,100,0.25,dijkstra,True,31.1811,7471,199
18,100,100,0.25,astar,True,15.6056,4335,199
18,100,100,0.25,jps4,True,13.3599,2175,199
19,100,100,0.25,dijkstra,True,24.2245,7413,199
19,100,100,0.25,astar,True,15.4821,4039,199
19,100,100,0.25,jps4,True,14.0693,2074,199
20,100,100,0.25,dijkstra,True,23.9115,7313,207
20,100,100,0.25,astar,True,12.2014,3341,207
20,100,100,0.25,jps4,True,11.6143,1747,207
21,100,100,0.25,dijkstra,True,25.052,7431,204
21,100,100,0.25,astar,True,11.7618,3058,204
21,100,100,0.25,jps4,True,9.7,1569,204
22,100,100,0.25,dijkstra,True,27.5992,7466,199
22,100,100,0.25,astar,True,12.1488,3315,199
22,100,100,0.25,jps4,True,10.3335,1667,199
23,100,100,0.25,dijkstra,True,24.1722,7474,201
23,100,100,0.25,astar,True,23.0666,6274,201
23,100,100,0.25,jps4,True,22.4729,3798,201
24,100,100,0.25,dijkstra,True,25.1222,7490,199
24,100,100,0.25,astar,True,15.3165,4070,199
24,100,100,0.25,jps4,True,12.9506,2093,199
25,100,100,0.25,dijkstra,True,24.9675,7451,199
25,100,100,0.25,astar,True,14.7256,4094,199
25,100,100,0.25,jps4,True,12.7698,2152,199
26,100,100,0.25,dijkstra,True,24.5147,7417,204
26,100,100,0.25,astar,True,9.7806,2786,204
26,100,100,0.25,jps4,True,7.9029,1449,204
27,100,100,0.25,dijkstra,True,25.1534,7396,198
27,100,100,0.25,astar,True,13.111,3531,198
27,100,100,0.25,jps4,True,10.0575,1769,198
28,100,100,0.25,dijkstra,True,25.1564,7486,200
28,100,100,0.25,astar,True,18.4312,5172,200
28,100,100,0.25,jps4,True,16.2226,2726,200
29,100,100,0.25,dijkstra,True,26.9887,7364,207
29,100,100,0.25,astar,True,16.7707,4598,207
29,100,100,0.25,jps4,True,14.6982,2588,207
0,100,100,0.3,dijkstra,True,64.2717,6899,222
0,100,100,0.3,astar,True,25.4718,5755,222
0,100,100,0.3,jps4,True,19.2219,3453,222
1,100,100,0.3,dijkstra,True,21.8776,6678,195
1,100,100,0.3,astar,True,17.1271,4809,195
1,100,100,0.3,jps4,True,15.9237,2968,195
2,100,100,0.3,dijkstra,True,22.384,6893,207
2,100,100,0.3,astar,True,13.4014,3536,207
2,100,100,0.3,jps4,True,11.9205,1952,207
3,100,100,0.3,dijkstra,True,22.2861,6829,206
3,100,100,0.3,astar,True,16.9315,4922,206
3,100,100,0.3,jps4,True,16.692,2914,206
4,100,100,0.3,dijkstra,True,22.0709,6864,199
4,100,100,0.3,astar,True,8.7028,2560,199
4,100,100,0.3,jps4,True,7.675,1448,199
5,100,100,0.3,dijkstra,True,27.256,6724,201
5,100,100,0.3,astar,True,9.1319,2043,201
5,100,100,0.3,jps4,True,7.6329,1178,201
6,100,100,0.3,dijkstra,True,28.0082,6668,207
6,100,100,0.3,astar,True,21.641,5580,207
6,100,100,0.3,jps4,True,22.3709,3331,207
7,100,100,0.3,dijkstra,True,28.136,6972,202
7,100,100,0.3,astar,True,20.4904,4880,202
7,100,100,0.3,jps4,True,17.5633,2837,202
8,100,100,0.3,dijkstra,True,23.3126,6780,206
8,100,100,0.3,astar,True,22.349,5834,206
8,100,100,0.3,jps4,True,20.6964,3574,206
9,100,100,0.3,dijkstra,True,22.7973,6797,194
9,100,100,0.3,astar,True,20.9435,5424,194
9,100,100,0.3,jps4,True,17.9308,3203,194
10,100,100,0.3,dijkstra,True,22.5997,6747,223
10,100,100,0.3,astar,True,24.2791,6325,223
10,100,100,0.3,jps4,True,22.7746,3943,223
11,100,100,0.3,dijkstra,True,22.0913,6863,216
11,100,100,0.3,astar,True,9.1754,2544,216
11,100,100,0.3,jps4,True,7.5685,1408,216
12,100,100,0.3,dijkstra,True,21.5637,6792,210
12,100,100,0.3,astar,True,15.1424,3962,210
12,100,100,0.3,jps4,True,13.6553,2394,210
13,100,100,0.3,dijkstra,True,23.5911,6818,207
13,100,100,0.3,astar,True,21.4045,5753,207
13,100,100,0.3,jps4,True,21.1858,3499,207
14,100,100,0.3,dijkstra,True,21.8406,6801,202
14,100,100,0.3,astar,True,6.0312,1710,202
14,100,100,0.3,jps4,True,4.9775,940,202
15,100,100,0.3,dijkstra,True,22.4272,6928,203
15,100,100,0.3,astar,True,21.8523,5793,203
15,100,100,0.3,jps4,True,19.6312,3482,203
